5,23,36.0,-,69,45,0,0.4,LMC/PGC17223,GX,12.9,420,300,120.0
5,36,0.0,-,1,0,0,0.4,Cr70,OC,,150,,
4,27,0.0,+,16,0,0,0.5,Hyades/Mel25,OC,,330,,
8,3,36.0,-,46,16,0,0.6,Cr173,OC,,370,,
16,26,0.0,-,26,13,0,1.0,Cr302,OC,,500,,
3,47,0.0,+,24,7,0,1.2,M45/Pleiades/Mel22,CL+NB,11.0,100,,
3,24,18.0,+,49,52,0,1.2,Mel20/Cr39,OC,,185,,
10,42,56.5,-,64,23,39,1.6,IC2602,OC[II3m],,100,,
12,25,6.0,+,26,7,0,1.8,Mel111/Cr256,OC,,275,,
7,17,24.0,-,36,50,0,2.1,Cr135,OC,,50,,
0,52,38.0,-,72,48,0,2.3,SMC/NGC292/PGC3085,GX,14.1,319,205,45.0
5,35,25.0,-,5,54,54,2.5,NGC1980,BN,8.0,14,,
8,40,18.0,-,52,55,0,2.6,IC2391,OC[II3p],,60,,
16,54,9.8,-,41,49,30,2.6,NGC6231/Table_Of_Scorpius,OC,,14,,
6,56,18.0,-,24,44,0,2.6,Cr121,OC,,50,,
5,35,6.0,+,9,51,40,2.8,Cr69,OC,,65,,
7,45,24.0,-,37,57,0,2.8,NGC2451,OC,,50,,
10,45,6.0,-,59,52,0,3.0,NGC3372/Keyhole_Nebula,BN,13.2,120,,
11,5,40.0,-,58,44,0,3.0,NGC3532,OC,,50,,
5,26,6.0,+,16,42,0,3.0,Cr65,OC,,220,,
18,1,6.0,+,2,54,0,3.0,Mel186/Cr359,OC,,240,,
18,16,54.0,-,18,39,0,3.1,M24/IC4715,OC[*Cloud],4.3,120,45,45.0
8,40,24.0,+,19,40,12,3.1,M44/NGC2632/Beehive_Cluster,OC,13.0,70,,
17,53,50.0,-,34,47,36,3.3,M7/NGC6475,OC,12.0,75,,
0,42,44.3,+,41,16,8,3.4,M31/NGC224/Andromeda_Galaxy,GX,13.4,189,62,35.0
16,55,30.0,-,40,50,0,3.4,Cr316,OC,,105,,
21,38,54.0,+,57,29,20,3.5,IC1396,BN[EN],14.2,170,140,
7,24,30.0,-,31,51,0,3.5,Cr140/Tuft_In_The_Tail_Of_The_Dog,OC,,60,,
19,26,30.0,+,20,5,0,3.6,Coathanger/Cr399,OC,,140,50,90.0
7,15,24.0,-,30,41,0,3.6,Cr132,OC,,80,,
7,18,41.4,-,24,57,15,3.8,NGC2362,OC,,6,,
7,58,4.0,-,60,45,12,3.8,NGC2516,OC,,22,,
18,54,30.0,+,36,54,0,3.8,Steph1,OC,,20,,
11,11,42.0,-,60,19,0,3.9,Cr240,OC,,25,,
5,35,17.1,-,5,23,25,4.0,M42/NGC1976/Orion_Nebula,BN,11.6,40,35,
0,24,5.2,-,72,4,49,4.0,NGC104/47_Tucanae,GC,12.3,50,,
6,40,58.2,+,9,53,44,4.1,NGC2264/Christmas_Tree_Cluster,OC,,40,,
17,40,20.0,-,32,15,30,4.2,M6/NGC6405/Butterfly_Cluster,OC,10.0,33,,
12,53,39.0,-,60,21,42,4.2,NGC4755/Jewel_Box_Cluster,OC,,10,,
5,12,36.0,+,73,58,0,4.2,Cr464,OC,,120,,
5,22,30.0,+,41,0,0,4.2,Cr62,OC,,28,,
