#HIC    Text
#-----	----------------------------------------------------------------------
    40  joint system: NGC 7822 11 (A)/ 12 (B)
   183  although bright, this star is not in SAO
   223  component B = NSV 3
   350  erroneously identified with CPD -57 10423 and
   350    CPD -58 8130 in the literature
   592  central star of a reflection nebula
   755  erroneous value for proper motion in right ascension in GC and SAO
  1021  central star of a reflection nebula
  1158  component A = AD Cet
  1501  component B is variable
  1543  component A = V377 Cas
  1860  other identification: LHS 1065. LHS 1066 (also G 242-52, V=14 mag)
  1860    is at 11 arcsec
  1902  globular cluster 47 Tucanae
  2242  double system: theta= 215, rho= 36 arcsec, Delta V= 3.2 mag
  2355  component A = GN And
  3243  erroneously identified with GJ 1017 in the literature
  3856  error in HIC identification: LHS 124 is about 20 arcsec NNE of
  3856    the target
  4189  double system with LP 990-139: theta=202, rho= 5 arcsec,
  4189    Delta V= 0.9 mag
  4427  component A = gam Cas
  4655  component A = WW Psc
  4831  double system: theta=170, rho= 61 arcsec, Delta V= 1 mag.
  4831    Component B = CD -48 249
  5348  component A = zet Phe
  5745  erroneously identified with CPD -51 179 in the literature
  7024  component A = SY Phe
  7410  double system: theta= 120, rho= 90 arcsec, Delta V= 1.5 mag
  8832  component A = gam Ari
  8924  not LP 528-136 (error in HIC identification). Proper motion
  8924    from ESO plates and AC
  9230  component A = CI Eri
  9258  component A = AA Cet
  9383  component A = X Tri
  9711  not detected by the satellite at the expected position or with the
  9711    expected intensity
  9786  erroneously identified with SAO 167562 in the literature
  9879  erroneously identified with G 274-149 and LTT 1101 in the literature
 10280  component A = TZ Tri
 10704  component A = V438 Per
 10826  component A = omi Cet; component P = VZ Cet
 11174  component A = V440 Per
 11317  other identification: Woolley 9081
 11569  component A = iot Cas
 11604  other identification: Markarian 6 28
 11607  other identification: Markarian 6 23
 11612  other identification: Markarian 6 18
 11769  component A = V425 Per
 12035  double system: theta= 30, rho= 38 arcsec, Delta V= 0.9 mag
 12097  erroneously identified with BD +19 381 in the literature
 12101  erroneously identified with CD -48 698 and CPD -49 132
 12101    in the literature
 12495  component A = V482 Cas
 12981  component A = CU Eri
 13112  uncertain magnitude
 13215  this star is SW of LHS 1452, proper motion close to zero
 13218  erroneously quoted as a double system in the literature
 13290  erroneously identified with V500 Cas in the literature
 14879  component B = NSV 1074
 15087  erroneously identified with AGK +52 334 in the literature
 15286  erroneous proper motion in SAO, correct in NLTT
 15474  component A = tau 04 Eri
 15803  double system: theta= 215, rho= 21 arcsec, Delta B= 1.1 mag
 16490  double system on Palomar plates, theta=100, rho= 20 arcsec,
 16490    Delta B= 2 mag
 16713  component A = IX Per
 16846  component A = V711 Tau
 17448  component A = omi Per
 17465  joint system: IC 348 14/ 20
 17572  joint system: Melotte 22  800 (B)/ 801 (A)
 17600  component A = S For
 17923  joint system: Melotte 22  2500 (C)/ 2503 (B)/ 2507 (A)
 18322  erroneously identified with BD +12 530 in the literature
 18377  not detected by the satellite at the expected position or with
 18377    the expected intensity
 18972  component A = RW Tau
 19201  component A = AG Per
 19261  joint system: Melotte 25  11 (A)/ 12 (B)
 19272  joint system: NGC 1502  1 (A)/ 4 (C)
 19424  component A = U Men
 19849  erroneously identified with DY Eri in the literature
 20338  companion of HIC 20342, theta= 330, rho= 61 arcsec
 20342  companion of HIC 20338
 20632  double system: theta= 2, rho= 28 arcsec, Delta V= 2.1 mag
 20648  component A = V776 Tau
 20990  component A = UX Tau
 21185  not LHS 193 (error in HIC identification)
 21222  triple system AB: theta= 320, rho= 34 arcsec, Delta B= 1.1 mag
 21222                AC: theta= 170, rho= 27 arcsec, Delta B= 1.2 mag
 21256  erroneously identified with McC 744 or G 8-23 in the literature
 21278  component A = EH Eri
 21492  not detected by the satellite at the expected position or with
 21492    the expected intensity
 21763  component A = DM Eri
 21986  component B = DW Eri
 22105  other identification: Melotte 25 8067
 22176  other identification: Melotte 25 164
 22260  component A = XZ Men
 23873  component A = RW Aur
 24575  component A = AE Aur
 25050  component A = UV Aur
 25281  component A = eta Ori
 25473  component A = psi Ori
